model,accuracy,precision,recall,f1
Random Forest,0.9717234053315797,0.764480111653873,0.6861885374256186,0.7232216537382407
Gradient Boosting,0.9718920194917969,0.8412343470483006,0.5891011587848418,0.6929452937925953
Decision Tree,0.9608815148296154,0.6351811706410654,0.6423426244910743,0.6387418249766428
Linear SVM,0.8849039742357563,0.29256594724220625,0.8023802067021609,0.4287866108786611
Logistic Regression,0.8787664188038512,0.2818469599388713,0.808643908549953,0.4180022664723976
